127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000514
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000575
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000511
127.0.0.1, 2014-06-30 23:10:59, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.000556
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000587
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.062436
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/default/edit/basic_rest/models/db.py, HTTP/1.1, 200, 0.272961
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.219950
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.223091
127.0.0.1, 2014-06-30 23:11:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2014-06-30 23:11:00, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000545
127.0.0.1, 2014-06-30 23:11:00, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.323039
127.0.0.1, 2014-06-30 23:11:01, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.167406
127.0.0.1, 2014-06-30 23:11:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 0.870958
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/css/web2py.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2014-06-30 23:11:05, GET, /basic_rest/static/css/calendar.css, HTTP/1.1, 200, 0.003485
